crisis_id,competing_resource_types,dominant_resource_in_outcome,actors_linked_to_substitution,actor_resource_profiles,bargain_recognition_of_resources,discourse_resource_claims,source_ids
CR-1972,street; military,military; street,Domestic transition actors / Forces Vives / government coalitions; Malagasy military / armed forces; Students and workers movement; French Republic; Philibert Tsiranana; Gabriel Ramanantsoa,popular; stability-based,,,SRC_MARCUS_2004; SRC_IMODEV_1972; SRC_BARG_1972_01; SRC_BARG_1973_01; DISCSRC_1972_TV5; DISCSRC_1972_MJP_1975; ELTSRC_HOS; ELTSRC_PMVP; SRC_BARG_1972_02
CR-1975,military,military,1975 Military Directorate / Directoire militaire; Malagasy military / armed forces; African Union; Gabriel Ramanantsoa; Richard Ratsimandrava; Gilles Andriamahazo; Didier Ignace Ratsiraka; Joël Rakotomalala; Justin Rakotoniaina,revolutionary,,,SRC_BRITANNICA_RATSIMANDRAVA; SRC_BARG_1975_02; SRC_BARG_1975_01; ELTSRC_HOS; ELTSRC_PMVP; DISCSRC_1975_MJP; SRC_MJP_1975
CR-1989,electoral,electoral,Victor Ramahatra,,,,SRC_MARCUS_2004; ELTSRC_PMVP
CR-2001-02,electoral,electoral,Republic of Senegal / Dakar mediation; United Nations; Didier Ignace Ratsiraka; Marc Ravalomanana; Jacques Hugues Sylla; Jean-Jacques Rasolondraibe,international; legal; electoral,,,SRC_CRS_2009; DISCSRC_2002_DAKAR; SRC_BARG_2002_01; SRC_BARG_2002_02; DISCSRC_2002_CPJ; DISCSRC_2002_IRIN; ELTSRC_HOS; ELTSRC_PMVP
CR-2009,street; military; media,military; street,Military Directory: Hippolyte Raharison Ramaroson; Ranto Rabarisoa; Rivo Hanitra Razafindralambo; Malagasy military / armed forces; African Union; Haute Autorité de la Transition; Haute Cour Constitutionnelle; Marc Ravalomanana; Hippolyte Raharison Ramaroson; Andry Nirina Rajoelina; Monja Roindefo Zafitsimivalo; Albert Camille Vital,stability-based; legal; popular,,,SRC_CRS_2009; DISCSRC_2009_CRS; ELTSRC_PMVP; SRC_HCC_2009_ORDS; SRC_BARG_2009_01; DISCSRC_2009_ORD003; SRC_ACE_2009_003; ELTSRC_HOS
CR-2011,international,international,Political actors / parties; African Union; Parliament / National Assembly; Southern African Development Community; Jean Omer Beriziky,international,,,SRC_PEACEMAKER_2011_ROADMAP; SRC_BARG_2012_01; SRC_BARG_2011_01; SRC_BARG_2011_02; DISCSRC_2011_MJP_ROADMAP; ELTSRC_PMVP; SRC_PEACEMAKER_2011
CR-2023,electoral,electoral,Gouvernement collégial; Collectif des candidats; Opposition parties and blocs; Haute Cour Constitutionnelle; Andry Nirina Rajoelina; Richard Ravalomanana,legal; electoral,,,SRC_COMMONS_2023; ELTSRC_HOS; DISCSRC_2023_ALJAZEERA; SRC_BARG_2023_01; DISCSRC_2023_HCC; DISCSRC_2023_UKPARL
CR-2024,electoral,electoral,,,,,SRC_LEMONDE_2024_LEG
CR-2025,street; military,military; street,Gen Z / youth protest movement; Malagasy military / armed forces; African Union; Haute Cour Constitutionnelle; Andry Nirina Rajoelina; Michaël Randrianirina; Ruphin Fortunat Dimbisoa Zafisambo; Herintsalama Andriamasy Rajaonarivelo,popular; legal; stability-based,,,SRC_HCC_2025_DEC10; DISCSRC_2025_REUTERS_POWERGRAB; SRC_BARG_2025_01; DISCSRC_2025_HCC10; SRC_HCC_2025_10; DISCSRC_2025_CONSTITUTIONNET; ELTSRC_HOS; ELTSRC_PMVP
